iteration,ndofs,disp_norm,load,compliance
1,141462,345253317627064.7,800.0,431566647033.8309
2,134925,3209904153.2568445,800.0,4012380.1915710554
3,134112,4037944131.0049353,800.0,5047430.163756169
4,133623,12496784138.098387,800.0,15620980.172622984
5,133158,1625236611387.4211,800.0,2031545764.2342765
6,132702,435776805369.6705,800.0,544721006.7120881
7,132327,7016097929120.734,800.0,8770122411.400917
8,132024,2887163110060.4336,800.0,3608953887.575542
9,131574,7714028997752.823,800.0,9642536247.191029
10,131301,15831536814084.854,800.0,19789421017.606068
11,130962,13057867870513.65,800.0,16322334838.142063
12,130740,79565541902876.23,800.0,99456927378.59529
13,130500,1257185617876.099,800.0,1571482022.345124
14,130197,54942697524923.35,800.0,68678371906.15419
15,129924,64014934532788.47,800.0,80018668165.98558
16,129642,354679755472.50525,800.0,443349694.34063154
17,129351,5016712194924.815,800.0,6270890243.656019
18,129105,7340479300136.216,800.0,9175599125.170269
19,128877,108728497855950.36,800.0,135910622319.93794
20,128664,15737542401007.455,800.0,19671928001.25932
21,128439,4296953217155.31,800.0,5371191521.444138
22,128229,21880695087075.79,800.0,27350868858.844738
23,128043,8551337749456.718,800.0,10689172186.820898
24,127755,74391139816832.08,800.0,92988924771.0401
25,127572,18113690543152.83,800.0,22642113178.941036
26,127386,1084249138393521.0,800.0,1355311422991.9014
27,127248,22033240297018.605,800.0,27541550371.27326
28,127050,1553421699096.6733,800.0,1941777123.8708417
29,126867,37099113491179.914,800.0,46373891863.97489
30,126711,16975929319231.023,800.0,21219911649.03878
31,126558,13614406933753.896,800.0,17018008667.192371
